27,"Beijing Oil Painting Research Groups,post  (2)",Document,,,,"Yang Yanping, Zhang Wei, Zhang Wenxin? Zhang Guangfu, Zhang Hongnian, Zhang Jiaxi, Zhong Ming, Zhao Yixiong, Qin Yuanyue, Chang Youming, Yuan Yunsheng, Yuan Yunfu, Cao Dali, Huang Li, Yan Zhenduo, Fu Yuan, Zhan Jianjun, Ma Yunhong, Wang Lu, Wang Leifu, Ye Wulin, Fen Guodong,Si Shangyi, Liu Bingjiang, Zhuang Yan, Zhu Naizheng, Quan Zhenghuan? Xing Guozhen? Pang Tao, Ji Cheng, Li Huaji, Li Yuchang, Li Xiushi, Chen Wei, Wu Guanzhong, Lin Gang",Beijing,1979,42
28,"Group Photo of National Oil Painting Research Conference,1986, Li Shan, Dai Hengyang? Gao Minglu, Li Xiushi, Zhan Jianjun, Zhang Zuying, Li Di, Zhang Peili, Shu Qun, Cai Rong",Document,,,,"Li Shan, Dai Hengyang? Gao Minglu, Li Xiushi, Zhan Jianjun, Zhang Zuying, Li Di, Zhang Peili, Shu Qun, Cai Rong",Beijing,1986.4,47
29,"Group Photo of  National Oil Painting Research Conference,1986.4, front from left: Gao Minglu, Zhang Peili, Tang Qingnian, Zhu Qingsheng? Li Shan, Back: Shu Qun ",Document,,,,"Gao Minglu, Zhang Peili, Tang Qingnian, Zhu Qingsheng? Li Shan, Shu Qun ",,1986.4,47
30,"Group Photo of  National Oil Painting Research Conference,1986.4, Shu Qun, Li Di, Zhang Peili, Gao Minglu, Dai Hengyang? Li Shan",Document,,,,"Shu Qun, Li Di, Zhang Peili, Gao Minglu, Dai Hengyang? Li Shan",,1986.4,47
34,"Shi Guo,Actor,ink,1986",Work,Zhu Hai Painting Institute First Exhibition,Actors,ink,Shi Guo,,1986,54
35,"Shi Guo,Taotie,ink,1986",Work,Zhu Hai Painting Institute First Exhibition,Taotie,ink,Shi Guo,,1986,65
36,"Shi Guo,To Penetrate Each Other,ink,1986",Work,Zhu Hai Painting Institute First Exhibition,Penetrate Each other,ink,Shi Guo,,1986,66
37,"Shi Panshi,Abyss,oil on canvas,1986",Work,Zhu Hai Painting Institute First Exhibition,Abyss,oil on canvas,Shi Panshi,,1986,66
38,"Li Ziren,",Work,Zhu Hai Painting Institute First Exhibition,Girl Space No.3,oil on canvas,Li Ziren,,1986,67
39,"Li Ziren,",Work,Zhu Hai Painting Institute First Exhibition,Girl Space No.4,oil on canvas,Li Ziren,,1986,67
40,"Li Ziren,",Work,Zhu Hai Painting Institute First Exhibition,Girl Space No.5,ink,Li Ziren,,1986,68
41,"Wu Liming,",Work,Zhu Hai Painting Institute First Exhibition,,ink,Wu Liming,,1986,68
42,"Tang Li,",Work,Zhu Hai Painting Institute First Exhibition,,ink,Tang Li,,1986,69
43,"Tang Li,",Work,Zhu Hai Painting Institute First Exhibition,,oil on canvas,Tang Li,,1986,69
44,"""Seven Seven Seven "" Logo, Ren Jian Design,1984",Work,77,777 logo,,Ren Jian,,1984,87
45,"""Seven Seven Seven "" Logo, Shu Qun Design,1984",Work,,777 logo,,,,1984,87
46,"Group Photo of the ""Seven Seven Seven"", from left:Shu Qun, Ren Jian, Zhang Shuguang, Lv Yin,Zhang Qiandi, Ba Wei,1984 ",Document,,777,,,,1984,87
47,"Cover of Magazine ""God"" from Northern Art Group,1985 ",Document,,,,,,1985,88
48,"Invitation of Northern Artists Group Biennial,1987",Document,,,,,,1987,88
49,"Scene of Northern Artists Group Biennial,1987",Exhibition,,,,,,1987,89
50,"Guest Book of Northern Artists Group Biennial,1987",Document,,,,,,1987,89
51,"Group Photo of Northern Artists Group Biennial,",Document,,,,,,1987,90
54,"Wang Guangyi, Frozen North Pole  No.15, oil on canvas, 1985",Work,,Frozen North Pole  No.15,oil on canvas,Wang Guangyi,,1985,120
55,"Wang Guangyi, Frozen North Pole  No.20, oil on canvas, 1985",Work,,Frozen North Pole  No.20,oil on canvas,Wang Guangyi,,1985,120
56,"Wang Guangyi, Frozen North Pole  No.23, oil on canvas, 1985",Work,,Frozen North Pole  No.23,oil on canvas,Wang Guangyi,,1985,121
57,"Wang Guangyi, Frozen North Pole  No.25, oil on canvas, 1985",Work,,Frozen North Pole  No.25,oil on canvas,Wang Guangyi,,1985,121
58,"Wang Guangyi, Frozen North Pole: Philosophical Breakfast, 1985",Work,,Frozen North Pole: Philosophical Breakfast ,oil on canvas,Wang Guangyi,,1985,122
59,"Wang Guangyi, Post Classical: Era of Faith Medieval, 1986",Work,,Post Classical: Era of Faith Medieval,oil on canvas,Wang Guangyi,,1986,122
60,"Wang Guangyi, Post Classical:The Return of Tragic Love, 1986",Work,,Post Classical:The Return of Tragic Love,oil on canvas,Wang Guangyi,,1986,123
61,"Wang Guangyi, Post Classical: Cross Came Down, oil on canvas, 1986",Work,,Post Classical: Cross Came Down,oil on canvas,Wang Guangyi,,1986,123
62,"Wang Guangyi, Black Rationality: Purgatory Analysis, oil on canvas, 1986",Work,,Black Rationality: Purgatory Analysis ,oil on canvas,Wang Guangyi,,1986,124
63,"Wang Guangyi, Post Classical: Holy Communion, oil on canvas,1986",Work,,Post Classical: Holy Communion,oil on canvas,Wang Guangyi,,1985,124
64,"Shu Qun, Work No.3, oil on canvas, 1986",Work,,Work No.3,oil on canvas,Shu Qun,,1986,125
